201,Nezmari-Boure,50.3102,16.4055,30.9125,10.007,32.5183,17.1148
249,Zluty_pes-Sametova,16.742,16.6055,10.2752,10.207,10.8164,10.8164
65,Jaromir_Nohavica-iDnes.cz,21.3665,16.6055,13.1275,10.107,13.8214,13.7633
101,Tomas_Klus-Cas,38.022,16.6055,23.3597,10.107,24.6073,17.2148
207,Olympic-Taky_jsem_se_narodil_bos,31.0862,16.8102,19.1066,10.207,20.0947,17.5195
255,[C]hinaski-Venku_je_na_nule,34.9976,16.8102,21.506,10.207,22.6549,17.4195
224,Richard_Muller-Srdce_jako_knize_Rohan,36.3318,16.8102,22.2877,10.207,23.4909,17.5195
254,Chinaski-Adieu,30.1035,16.9102,18.4956,10.3117,19.4435,17.5195
50,Vitor_Kley-O_Sol,37.881,16.9102,23.2975,10.4117,24.5253,17.7242
116,Blink-182-All_the_Small_Things,37.7822,17.0148,23.1827,10.4117,24.4543,17.7242
152,Jaromir_Nohavica-Kometa,34.2296,17.1148,21.0093,10.4117,22.0972,17.7242
57,Traband-Sara,32.2394,17.2148,19.797,10.5117,20.846,17.8242
232,Traband-Cernej_pasazer,34.3363,17.2148,21.0702,10.5117,22.2244,17.9289
264,Elvis_Presley-In_The_Ghetto,24.8947,17.4195,15.2113,10.5117,16.0976,15.9961
112,Alphaville-Mel_jmeno_Jan,33.5166,17.4195,20.5949,10.6164,21.6818,18.1289
246,Wanastowy_Vjecy-Otevrena_zlomenina_srdecniho_svalu,32.6824,17.5195,20.059,10.207,21.1303,18.3336
155,Jaroslav_Samson_Lenk-Amazonka,45.1966,17.6242,27.7785,10.8164,29.248,18.3336
267,Loituma-Ievan_Polkka,46.0605,17.6242,28.2602,10.8164,29.7843,18.3336
168,Kabat-Mala_dama,22.6083,17.7242,13.8892,10.8164,14.6388,14.5773
75,Jezek_+_Voskovec_+_Werich-Babicka_Mary,21.2275,17.8242,13.0374,10.8164,13.721,13.6633
163,Kabat-Burlaci,25.6724,17.8242,15.771,10.9211,16.6055,16.6055
20,Michal_Horak-Mezinarodni,27.0414,17.8242,16.6492,10.8164,17.5564,17.5195
274,Pokemon-Gotta_Catch_'em_all!,41.9695,17.8242,25.7671,10.9211,27.131,18.6383
270,Elton_John-Can_You_Feel_The_Love_Tonight,24.437,18.0289,15.0046,11.0211,15.8244,15.6914
174,Kamil_Strihavka-Zeme_vzdalena,36.9618,18.0289,22.6936,11.0211,23.9127,18.7383
140,Honza_Jicha-Matfyzak,42.6665,18.0289,26.2186,11.0211,27.6143,18.7383
63,Epy_de_Mye-Obycejne_fotky,36.6167,18.2336,22.4917,11.1211,23.7161,18.943
83,Jaromir_Nohavica-Lachtani,37.0198,18.2336,22.7454,11.1211,23.9168,19.043
240,Wabi_Danek-Hudsonsky_sify,29.1041,18.3336,17.8887,11.1211,18.8174,18.7383
18,Chinaski-Moc_toho_nevim,38.0099,18.3336,23.3235,11.1211,24.565,19.043
71,Devitka-Burcak,37.9547,18.3336,23.3235,11.1211,24.565,19.043
89,Simple_Plan-Astronaut,22.8788,18.4336,14.0412,11.1211,14.8084,14.7773
160,Johnny_Cash-Man_in_Black,26.849,18.4336,16.4971,11.3258,17.356,17.3195
257,Jaromir_Nohavica-Darmodej,31.625,18.4336,19.4408,11.2258,20.4816,19.1477
266,Honza_Jicha-Dezinfekce,33.0906,18.4336,20.2962,11.2258,21.3951,19.1477
104,Karel_Kryl-Hlas,35.6577,18.4336,21.8772,11.3258,23.0778,19.2477
136,Filmova_hudba-Kralovske_reggae,40.6869,18.4336,24.9954,11.2258,26.3419,19.1477
176,Karel_Kryl-Velicenstvo_kat,32.409,18.5383,19.8753,11.3258,20.9307,19.3477
187,Lucie-Medvidek,28.3773,18.7383,17.4475,11.4258,18.3722,18.3336
278,Vlasta_Redl-Vecer_krupavych_srdicek,28.6128,18.7383,17.5662,11.4258,18.4114,18.4336
77,Ozvena-Strom,30.1371,18.7383,18.5106,11.4258,19.4933,19.4523
248,Zalman_&_Spol.-Jedenkrat,35.1513,18.843,21.6086,11.4258,22.7126,19.6523
177,Klic-Omnia_Vincit_Amor,37.7887,18.843,23.2104,11.4258,24.4243,19.6523
66,Jaromir_Nohavica-Ja_chci_poezii,26.3696,18.943,16.1216,11.5305,17.0506,17.0148
126,Chinaski-Kapela,23.1664,19.043,14.2466,11.6305,14.982,14.982
288,Tomas_Klus-Napojen,41.963,19.043,25.7695,11.6305,27.1607,19.857
124,Chinaski-Drobna_paralela,25.3578,19.1477,15.5947,11.7305,16.4042,16.3008
286,Jezek_+_Voskovec_+_Werich-V_dome_strasi_duch,48.098,19.1477,29.5558,11.7305,31.146,19.957
225,Scorpions-Still_Loving_You,25.5249,19.2477,15.6869,11.7305,16.5055,16.5055
88,O-Zone-Dragostea_Din_Tei,29.061,19.3477,17.8525,11.7305,18.8174,18.7383
41,Poletime-Tri_kamosky_psycholozky,31.8566,19.3477,19.552,11.8352,20.6081,20.2617
123,Chinaski-Dobrak_od_kosti,35.7375,19.3477,21.9242,11.8352,23.1182,20.1617
181,Leonard_Cohen-Hallelujah,36.8409,19.3477,22.6174,11.8352,23.8138,20.1617
170,Kabat-Pohoda,37.2772,19.3477,22.9049,11.7305,24.1146,20.0617
209,Pacifik-Mississippi_blues,27.8346,19.5523,17.1097,11.9352,18.0045,17.9289
230,The_Beatles-Hey_Jude,28.3277,19.5523,17.4023,11.9352,18.3105,18.2336
222,Ready_Kirken-1+1,34.8912,19.5523,21.4076,11.9352,22.4815,20.2617
69,Survivor-Eye_Of_The_Tiger,36.0293,19.6523,22.1095,11.9352,23.3062,20.4664
150,Jaromir_Nohavica-Jdou_po_me_jdou,31.4316,19.757,19.2905,12.0352,20.3472,20.2617
213,Pavel_Lohonka_Zalman-Tri_prani,44.2726,19.757,27.1996,12.0352,28.6246,20.5664
279,Nezmari-Pisek,30.0375,19.957,18.4413,12.2398,19.4293,19.3477
272,Foster_the_People-Pumped_Up_Kicks,30.6871,19.957,18.8402,12.2398,19.857,19.857
129,Ewa_Farna-Mels_me_vubec_rad,55.9252,19.957,34.371,12.1398,36.1601,20.7711
80,Chinaski-Vinari,22.3042,20.0617,13.694,12.2398,14.4333,14.3727
238,Vance_Joy-Riptide,27.0156,20.2617,16.6,12.3398,17.4562,17.4195
9,Michal_David-Nonstop,34.3935,20.2617,21.1272,12.3398,22.2441,21.0758
108,Karel_Kryl-Nevidoma_divka,37.7979,20.2617,23.24,12.3398,24.4685,21.0758
165,Kabat-Corrida,33.9902,20.3664,20.8643,12.4445,22.008,21.1758
203,Nirvana-Where_Did_You_Sleep_Last_Night,27.622,20.5664,16.9764,12.5445,17.8617,17.8242
139,Honza_Jicha-Kdybych_byl_gay,31.2968,20.5664,19.2435,12.6445,20.2617,20.2617
166,Kabat-Kdo_vi_jestli,22.4394,20.6711,13.7718,12.6445,14.5032,14.4727
159,Johnny_Cash-I_Walk_the_Line,35.7135,20.6711,21.9335,12.6445,23.0806,21.4805
86,Michal_Tucny-Poveste_ho_vejs,25.144,20.7711,15.4468,12.6445,16.2692,16.2008
125,Chinaski-Hlavolam,31.5207,20.7711,19.3739,12.6445,20.3902,20.2617
82,Imagine_Dragons-Radioactive,25.6019,20.8711,15.702,12.7492,16.5402,16.5055
11,Karel_Kryl-Karavana_mraku,35.5243,20.8711,21.8142,12.6445,22.9892,21.6852
40,Poletime-Lokomotiva,31.2738,21.0758,19.1903,12.9492,20.2041,20.1617
106,Karel_Kryl-Kral_a_klaun,28.4538,21.1758,17.4718,12.9492,18.411,18.3336
151,Jaromir_Nohavica-Kdyz_me_brali_za_vojaka,32.5373,21.1758,19.9762,12.9492,20.9643,20.9758
1,Pokac-Co_z_tebe_bude,37.8286,21.1758,23.2263,12.9492,24.4559,21.9898
185,Lucie-Amerika,39.7524,21.2805,24.4417,12.9492,25.7084,22.0898
210,Pavel_Bobek-Ved_me_dal_cesto_ma,28.3532,21.3805,17.4198,12.9492,18.3336,18.3336
235,Uhlir-Barbora_pise_z_tabora,21.539,21.4805,13.2124,13.1539,13.9218,13.8633
138,Greenhorns-Divka_s_vlasem_medovym,26.2183,21.4805,16.1126,13.1539,16.9458,16.9102
39,Miki_Ryvola-Tunel_jmenem_cas,30.1707,21.6852,18.5473,13.2539,19.5344,19.4523
287,Karel_Kryl-Pisen_neznameho_vojina,30.9909,21.6852,19.0605,13.2539,20.0412,19.957
218,Penk_&_Pergner-O_blaznech,21.9042,21.7852,13.4586,13.4586,14.168,14.168
85,Kenny_Rogers-The_Gambler,23.4072,21.7852,14.3663,13.2539,15.1456,15.082
231,Tlusta_Berta-Blazniva_Zuzana,25.2957,21.7852,15.5261,13.2539,16.3696,16.3008
6,Alvaro_Soler-Sofia,28.1297,21.7852,17.2644,13.2539,18.2054,18.1289
3,Pokac-Rad_chodim_na_postu,32.8338,21.7852,20.1709,13.2539,21.2204,21.1758
242,Waldemar_Matuska-Mile,39.0119,21.7852,23.9631,13.2539,25.2517,22.5992
180,Lenka_Dusilova-Pro_tebe,47.2977,21.7852,29.0172,13.2539,30.6086,22.6992
72,Devitka-Holka_od_koni,24.983,21.8898,15.3641,13.3586,16.1687,16.1008
130,Fesaci-Jaro,27.2234,21.8898,16.726,13.3586,17.6306,17.5195
