Karel_Kryl-Demokracie,,23.2086,23.2409,11.4258,23.2357,14.068,14.068,14.7773,14.8418
Zalman_&_Spol.-Vojacek_z_Moorlough_Shore,,15.3867,23.0474,11.4258,23.0456,9.49766,13.708,14.982,14.8474
Alphaville-Mel_jmeno_Jan,,15.5914,23.6051,11.7305,23.5951,9.49766,14.0302,15.3867,14.8503
Jelen-Klidna_jako_voda,,22.3945,22.7834,11.4258,22.7852,13.7633,13.5371,14.7773,14.8743
Filmova_hudba-Kdyby_se_v_komnatach,,23.3086,23.3086,11.4258,23.3361,14.068,14.0003,14.7773,14.8743
Poletime-Tri_kamosky_psycholozky,,20.0617,23.6971,11.3258,23.6879,12.2398,14.0892,14.7773,14.8781
The_Animals-Dum_u_vychazejiciho_slunce,,22.2945,22.6806,12.0352,22.7756,13.5586,13.5586,15.6914,14.8826
Michal_Tucny-Prodavac,,11.1211,23.6577,11.8352,23.6704,6.85547,14.1143,11.6305,14.8911
Petr_Bende-Nad_horu_svita,,23.3086,22.7899,11.6305,22.775,14.3727,13.5311,15.1867,14.8953
Karel_Kryl-Andel,,23.3086,22.7899,11.4258,22.7861,14.068,13.5818,14.7773,14.9069
Vaclav_Neckar-Tu_kytaru_jsem_koupil_kvuli_tobe,,22.2945,22.9138,11.4258,22.9146,13.5586,13.6236,14.882,14.947
Miley_Cyrus-Wrecking_Ball,,15.082,23.7534,11.8352,23.6721,9.29297,14.1243,15.3867,14.948
Ales_Brichta-Divka_s_perlami_ve_vlasech,,16.5055,23.8113,11.9352,23.8034,10.007,14.1514,15.4914,14.9514
Fleret-Zafukane,,23.5133,22.9901,11.5305,22.9949,14.168,13.7099,14.982,15.0474
Buty-Frantisek,,25.0367,23.0076,13.3586,23.0174,15.3867,13.7171,17.4195,15.062
Jananas-Jana_Smutna,,12.9492,23.9851,12.0352,24.0023,7.87422,14.2827,13.4586,15.1007
Tri_Sestry-Pumpa,,23.3086,23.144,11.5305,23.1569,14.168,13.7407,15.082,15.1149
Wabi_Danek-Hejkal,,22.0898,23.1778,10.8164,23.1709,13.2539,13.7473,14.068,15.1198
Poletime-Lokomotiva,,20.0617,24.0262,12.0352,24.0362,12.2398,14.3254,15.6914,15.1444
Michal_Tucny-Abych_Tu_Zil,,23.6133,23.12,11.6305,23.1289,14.2727,13.7794,15.082,15.1479
Kamelot-Amulet,,22.3945,23.2203,11.6305,23.2258,13.7633,13.7962,15.082,15.1479
